arquivo_destino,qt_redirect_errado
sitemap-articles-100_urls_output.csv,0
sitemap-articles-101_urls_output.csv,26
sitemap-articles-102_urls_output.csv,1692
sitemap-articles-103_urls_output.csv,612
sitemap-articles-104_urls_output.csv,0
sitemap-articles-105_urls_output.csv,0
sitemap-articles-106_urls_output.csv,0
sitemap-articles-107_urls_output.csv,0
sitemap-articles-108_urls_output.csv,0
sitemap-articles-109_urls_output.csv,0
sitemap-articles-10_urls_output.csv,0
sitemap-articles-110_urls_output.csv,0
sitemap-articles-111_urls_output.csv,0
sitemap-articles-112_urls_output.csv,0
sitemap-articles-113_urls_output.csv,7452
sitemap-articles-114_urls_output.csv,8712
sitemap-articles-115_urls_output.csv,5778
sitemap-articles-116_urls_output.csv,740
sitemap-articles-117_urls_output.csv,1
sitemap-articles-118_urls_output.csv,3
sitemap-articles-119_urls_output.csv,2
sitemap-articles-11_urls_output.csv,2
sitemap-articles-120_urls_output.csv,1
sitemap-articles-12_urls_output.csv,4
sitemap-articles-13_urls_output.csv,3
sitemap-articles-14_urls_output.csv,3
sitemap-articles-15_urls_output.csv,1
sitemap-articles-16_urls_output.csv,18
sitemap-articles-17_urls_output.csv,18
sitemap-articles-18_urls_output.csv,1
sitemap-articles-19_urls_output.csv,0
sitemap-articles-1_urls_output.csv,577
sitemap-articles-20_urls_output.csv,72
sitemap-articles-21_urls_output.csv,73
sitemap-articles-22_urls_output.csv,2
sitemap-articles-23_urls_output.csv,56
sitemap-articles-24_urls_output.csv,39
sitemap-articles-25_urls_output.csv,36
sitemap-articles-26_urls_output.csv,1
sitemap-articles-27_urls_output.csv,288
sitemap-articles-28_urls_output.csv,36
sitemap-articles-29_urls_output.csv,0
sitemap-articles-2_urls_output.csv,2358
sitemap-articles-30_urls_output.csv,126
sitemap-articles-31_urls_output.csv,144
sitemap-articles-32_urls_output.csv,18
sitemap-articles-33_urls_output.csv,0
sitemap-articles-34_urls_output.csv,0
sitemap-articles-35_urls_output.csv,18
sitemap-articles-36_urls_output.csv,18
sitemap-articles-37_urls_output.csv,0
sitemap-articles-38_urls_output.csv,0
sitemap-articles-39_urls_output.csv,0
sitemap-articles-3_urls_output.csv,2072
sitemap-articles-40_urls_output.csv,0
sitemap-articles-41_urls_output.csv,0
sitemap-articles-42_urls_output.csv,36
sitemap-articles-43_urls_output.csv,0
sitemap-articles-44_urls_output.csv,0
sitemap-articles-45_urls_output.csv,0
sitemap-articles-46_urls_output.csv,0
sitemap-articles-47_urls_output.csv,0
sitemap-articles-48_urls_output.csv,18
sitemap-articles-49_urls_output.csv,18
sitemap-articles-4_urls_output.csv,433
sitemap-articles-50_urls_output.csv,18
sitemap-articles-51_urls_output.csv,0
sitemap-articles-52_urls_output.csv,18
sitemap-articles-53_urls_output.csv,0
sitemap-articles-54_urls_output.csv,102
sitemap-articles-55_urls_output.csv,18
sitemap-articles-56_urls_output.csv,0
sitemap-articles-57_urls_output.csv,0
sitemap-articles-58_urls_output.csv,0
sitemap-articles-59_urls_output.csv,0
sitemap-articles-5_urls_output.csv,1
sitemap-articles-60_urls_output.csv,18
sitemap-articles-61_urls_output.csv,0
sitemap-articles-62_urls_output.csv,108
sitemap-articles-63_urls_output.csv,19
sitemap-articles-64_urls_output.csv,0
sitemap-articles-65_urls_output.csv,0
sitemap-articles-66_urls_output.csv,18
sitemap-articles-67_urls_output.csv,18
sitemap-articles-68_urls_output.csv,0
sitemap-articles-69_urls_output.csv,0
sitemap-articles-6_urls_output.csv,1
sitemap-articles-70_urls_output.csv,0
sitemap-articles-71_urls_output.csv,0
sitemap-articles-72_urls_output.csv,0
sitemap-articles-73_urls_output.csv,0
sitemap-articles-74_urls_output.csv,18
sitemap-articles-75_urls_output.csv,0
sitemap-articles-76_urls_output.csv,18
sitemap-articles-77_urls_output.csv,72
sitemap-articles-78_urls_output.csv,0
sitemap-articles-79_urls_output.csv,72
sitemap-articles-7_urls_output.csv,1
sitemap-articles-80_urls_output.csv,0
sitemap-articles-81_urls_output.csv,0
sitemap-articles-82_urls_output.csv,162
sitemap-articles-83_urls_output.csv,0
sitemap-articles-84_urls_output.csv,0
sitemap-articles-85_urls_output.csv,59
sitemap-articles-86_urls_output.csv,0
sitemap-articles-87_urls_output.csv,0
sitemap-articles-88_urls_output.csv,0
sitemap-articles-89_urls_output.csv,0
sitemap-articles-8_urls_output.csv,4
sitemap-articles-90_urls_output.csv,18
sitemap-articles-91_urls_output.csv,0
sitemap-articles-92_urls_output.csv,0
sitemap-articles-93_urls_output.csv,0
sitemap-articles-94_urls_output.csv,1
sitemap-articles-95_urls_output.csv,1
sitemap-articles-96_urls_output.csv,1
sitemap-articles-97_urls_output.csv,18
sitemap-articles-98_urls_output.csv,0
sitemap-articles-99_urls_output.csv,18
sitemap-articles-9_urls_output.csv,0
sitemap-videos_urls_output.csv,0
